encora_id,show_name,tour_name,date,master,nft_status,cast,encora_link
1006,KPOP,Off-Broadway,2017-10-07,hi_im_joe,Not NFT,"Marina Kondo ( MwE), Vanessa Kai ( Ruby), Jiho Kang ( Lex), Joomin Hwang ( Timmy X), Katie Lee Hill ( Tiny D), Julia Abueva ( Sonoma), John Yi ( Bobo), Jinwoo Jung ( Oracle), James Saito ( Moon), Susannah Kim ( Mina), Cathy Ang ( Jin Hee), James Seol ( Jerry), Ebony Williams ( Jenn), Jason Tam ( Epic), David Shih ( Dr. Park), Sun Hye Park ( Callie), Deborah Kim ( XO), Amanda Morton ( Yazmeen)",https://encora.it/recordings/1006
1098,Groundhog Day,Broadway,2017-04-01,SunsetBlvd79,Not NFT,"Andy Karl ( Phil Connors), Barrett Doss ( Rita Hanson), John Sanders ( Ned Ryerson), Raymond J. Lee ( Ralph), Vishal Vaidya ( Larry), Heather Ayers ( Mrs. Lancaster), Katy Geraghty ( Debbie), Josh Lamon ( Buster), Joseph Medeiros ( Deputy), Jenna Rubaii ( Joelle), Sean Montgomery ( Sheriff), Gerard Canonico ( Fred), Andrew Call ( Gus), Travis Waldschmidt ( Jeff), Rebecca Faulkenberry ( Nancy Taylor), Tari Kelly ( Piano Teacher), Michael Fatica ( Chubby Man), Rheaume Crenshaw ( Doris), William Parry ( Jenson), Taylor Iman Jones ( Lady Storm Chaser)",https://encora.it/recordings/1098
1192,Wicked,Broadway,2016-12-23,Unknown,Not NFT,"Jennifer DiNoia ( Elphaba), Kara Lindsay ( Glinda), Michael Campayno ( Fiyero), Peter Scolari ( The Wizard), Sheryl Lee Ralph ( Madame Morrible), Dawn E. Cantwell ( Nessarose), Zachary Noah Piser ( Boq), Michael Genet ( Doctor Dillamond)",https://encora.it/recordings/1192
1450,Fun Home,First US National Tour,2016-11-04,SunsetBlvd79,Not NFT,"Kate Shindle ( Alison), Abby Corrigan ( Medium Alison), Carly Gold ( Small Alison), Robert Petkoff ( Bruce), Susan Moniz ( Helen), Karen Eilbacher ( Joan), Pierson Salvador ( Christian), Lennon Nate Hammond ( John), Robert Hager ( Roy)",https://encora.it/recordings/1450
1793,KPOP,Off-Broadway,2017-09-20,scaaahftrading,Not NFT,"Ashley Park ( MwE), Vanessa Kai ( Ruby), Jiho Kang ( Lex), Joomin Hwang ( Timmy X), Katie Lee Hill ( Tiny D), Julia Abueva ( Sonoma), John Yi ( Bobo), Jinwoo Jung ( Oracle), James Saito ( Moon), Susannah Kim ( Mina), Cathy Ang ( Jin Hee), James Seol ( Jerry), Ebony Williams ( Jenn), Jason Tam ( Epic), David Shih ( Dr. Park), Sun Hye Park ( Callie), Deborah Kim ( XO), Amanda Morton ( Yazmeen)",https://encora.it/recordings/1793
1821,Evita,Studio Tenn Theatre Company,2016-09-13,SunsetBlvd79,Not NFT,"Eden Espinosa ( Eva Perón), Ben Crawford ( Che), Anthony Crivello ( Perón), René Millán ( Magaldi), Mia Rose Lynne ( Perón's Mistress)",https://encora.it/recordings/1821
1889,The Cripple of Inishmaan,Broadway,2014-01-01,Unknown,Not NFT,"Daniel Radcliffe ( Billy), Gillian Hanna ( Eileen Osborne), Ingrid Craigie ( Kate Osborne), Conor MacNeill ( Bartley McCormick), Sarah Greene ( Helen McCormick), Pat Shortt ( Johnnypateenmike), June Watson ( Mammy)",https://encora.it/recordings/1889
2092,Wicked,Broadway,2006-05-28,secretlydefying,Not NFT,"Eden Espinosa ( Elphaba), Megan Hilty ( Glinda), Derrick Williams ( Fiyero), David Garrison ( The Wizard), Carol Kane ( Madame Morrible), Jenna Leigh Green ( Nessarose), Robb Sapp ( Boq), Sean McCourt ( Doctor Dillamond)",https://encora.it/recordings/2092
2322,Wicked,Broadway,2007-01-20,jstarz,Not NFT,"Julia Murney ( Elphaba), Katie Adams ( Glinda), Sebastian Arcelus ( Fiyero), David Garrison ( The Wizard), Jayne Houdyshell ( Madame Morrible), Cristy Candler ( Nessarose), Logan Lipton ( Boq), Steven Skybell ( Doctor Dillamond)",https://encora.it/recordings/2322
3029,Wicked,Stuttgart,2009-02-20,Unknown,Not NFT,"Willemijn Verkaik ( Elphaba), Lucy Scherer ( Glinda), Mathias Edenborn ( Fiyero), Stefan Poslovski ( The Wizard), Barbara Raunegger ( Madame Morrible), Nicole Radeschnig ( Nessarose), Robert Knorr ( Boq), Michael Günther ( Doctor Dillamond)",https://encora.it/recordings/3029
